file_name,batch
111.fcs,1
112.fcs,1
122.fcs,1
123.fcs,1
126.fcs,1
128.fcs,1
129.fcs,1
130.fcs,1
132.fcs,1
134.fcs,1
135.fcs,1
136.fcs,1
140.fcs,1
147.fcs,1
151.fcs,1
167.fcs,1
171.fcs,1
173.fcs,1
176.fcs,1
180.fcs,1
182.fcs,1
183.fcs,1
184.fcs,1
185.fcs,1
186.fcs,1
187.fcs,1
296.fcs,1
298.fcs,1
311.fcs,2
312.fcs,2
313.fcs,2
321.fcs,2
322.fcs,2
323.fcs,2
324.fcs,2
328.fcs,2
329.fcs,2
330.fcs,2
331.fcs,2
333.fcs,2
334.fcs,2
336.fcs,2
337.fcs,2
338.fcs,2
341.fcs,2
342.fcs,2
348.fcs,2
349.fcs,2
350.fcs,2
351.fcs,2
354.fcs,2
355.fcs,2
357.fcs,2
358.fcs,2
359.fcs,2
360.fcs,2
361.fcs,3
363.fcs,3
364.fcs,3
365.fcs,3
367.fcs,3
368.fcs,3
371.fcs,3
372.fcs,3
373.fcs,3
374.fcs,3
375.fcs,3
376.fcs,3
377.fcs,3
378.fcs,3
379.fcs,3
380.fcs,3
381.fcs,3
382.fcs,3
383.fcs,3
384.fcs,3
385.fcs,3
387.fcs,3
388.fcs,3
391.fcs,3
392.fcs,3
394.fcs,3
396.fcs,3
397.fcs,4
398.fcs,4
399.fcs,4
400.fcs,4
401.fcs,4
402.fcs,4
403.fcs,4
404.fcs,4
405.fcs,4
406.fcs,4
408.fcs,4
409.fcs,4
410.fcs,4
411.fcs,4
412.fcs,4
413.fcs,4
415.fcs,4
416.fcs,4
417.fcs,4
418.fcs,4
419.fcs,4
420.fcs,4
422.fcs,4
423.fcs,4
424.fcs,4
425.fcs,4
426.fcs,4
427.fcs,4
428.fcs,4
429.fcs,4
431.fcs,4
432.fcs,4
433.fcs,4
434.fcs,4
435.fcs,4
436.fcs,4
437.fcs,4
438.fcs,4
439.fcs,4
441.fcs,4
443.fcs,4
444.fcs,4
445.fcs,4
447.fcs,4
449.fcs,4
450.fcs,3
452.fcs,3
453.fcs,3
455.fcs,3
456.fcs,3
457.fcs,3
458.fcs,3
459.fcs,3
461.fcs,3
465.fcs,3
466.fcs,3
467.fcs,3
468.fcs,3
469.fcs,3
470.fcs,3
472.fcs,3
473.fcs,3
477.fcs,3
479.fcs,3
480.fcs,3
482.fcs,3
483.fcs,3
484.fcs,3
485.fcs,3
488.fcs,3
490.fcs,3
492.fcs,3
493.fcs,3
495.fcs,2
496.fcs,2
499.fcs,2
500.fcs,2
502.fcs,2
503.fcs,2
504.fcs,2
517.fcs,2
519.fcs,2
520.fcs,2
521.fcs,2
522.fcs,2
523.fcs,2
524.fcs,2
525.fcs,2
536.fcs,2
538.fcs,2
544.fcs,2
554.fcs,2
555.fcs,2
558.fcs,2
564.fcs,2
565.fcs,2
573.fcs,2
578.fcs,2
580.fcs,2
581.fcs,2
583.fcs,2
587.fcs,1
596.fcs,1
597.fcs,1
598.fcs,1
601.fcs,1
606.fcs,1
608.fcs,1
611.fcs,1
624.fcs,1
630.fcs,1
631.fcs,1
632.fcs,1
645.fcs,1
667.fcs,1
669.fcs,1
678.fcs,1
681.fcs,1
682.fcs,1
686.fcs,1
690.fcs,1
691.fcs,1
694.fcs,1
695.fcs,1
710.fcs,1
712.fcs,1
714.fcs,1
715.fcs,1
734.fcs,1
