antigen,cofactor,class
CD3,6000.0,clustering
CD4,20000.0,clustering
CD8,10000.0,clustering
CD45RO,5000.0,clustering
CD56,3000.0,clustering
CCR7,6000.0,clustering
CD27,5000.0,clustering
CD45RA,6000.0,laterclustering
CRTH2,6000.0,laterclustering
TCRgd,6000.0,laterclustering
CD127,7000.0,laterclustering
CD25,7000.0,laterclustering
CD161,3000.0,laterclustering
CXCR5,3000.0,laterclustering
CXCR3,8000.0,laterclustering
CCR6,3000.0,laterclustering
CD2,7000.0,functional
CD28,2500.0,functional
CD38,2000.0,functional
HLADR,10000.0,functional
CD21,5000.0,functional
